Id,Predicted
0,movie.starring.actor
1,movie.starring.actor
2,movie.starring.actor
3,movie.starring.actor
4,movie.starring.actor
5,movie.starring.actor
6,movie.starring.actor
7,movie.starring.actor
8,movie.starring.actor
9,movie.starring.actor
10,movie.starring.actor
11,movie.starring.actor
12,movie.starring.actor
13,movie.starring.actor
14,movie.starring.actor
15,movie.starring.actor
16,movie.starring.actor
17,movie.starring.actor
18,movie.starring.actor
19,movie.genre
20,movie.starring.actor
21,movie.starring.actor
22,movie.starring.actor
23,movie.starring.actor
24,movie.starring.actor
25,movie.starring.actor
26,movie.starring.actor
27,movie.starring.actor
28,movie.starring.actor
29,movie.starring.actor
30,movie.starring.actor
31,movie.starring.actor
32,movie.starring.actor
33,movie.starring.actor
34,none
35,movie.starring.actor
36,movie.starring.actor
37,movie.starring.actor
38,movie.starring.actor
39,movie.starring.actor
40,movie.starring.actor
41,movie.starring.actor
42,movie.starring.actor
43,movie.starring.actor
44,movie.starring.actor
45,movie.starring.actor
46,movie.starring.actor
47,movie.starring.actor
48,movie.starring.actor
49,movie.starring.actor
50,movie.starring.actor
51,movie.starring.actor
52,movie.starring.actor
53,movie.starring.actor
54,movie.starring.actor
55,movie.starring.actor
56,movie.starring.actor
57,movie.starring.actor
58,movie.starring.actor
59,none
60,movie.starring.actor
61,movie.starring.actor
62,movie.starring.actor
63,movie.starring.actor
64,movie.starring.actor
65,movie.starring.actor
66,movie.starring.actor
67,movie.starring.actor
68,movie.starring.actor
69,movie.starring.actor
70,none
71,movie.starring.actor
72,movie.starring.actor
73,movie.starring.actor
74,movie.starring.actor
75,movie.starring.actor
76,movie.starring.actor
77,movie.starring.actor
78,movie.starring.actor
79,movie.starring.actor
80,movie.starring.actor
81,movie.starring.actor
82,movie.starring.actor
83,none
84,movie.starring.actor
85,movie.starring.actor
86,movie.starring.actor
87,movie.starring.actor
88,movie.starring.actor
89,movie.starring.actor
90,movie.starring.actor
91,movie.starring.actor
92,movie.starring.actor
93,movie.starring.actor
94,movie.starring.actor
95,movie.starring.actor
96,movie.starring.actor
97,movie.starring.actor
98,movie.starring.actor
99,movie.starring.actor
100,movie.starring.actor
101,movie.starring.actor
102,movie.starring.actor
103,movie.starring.actor
104,none
105,movie.starring.actor
106,movie.starring.actor
107,movie.starring.actor
108,none
109,movie.starring.actor
110,movie.starring.actor
111,movie.starring.actor
112,movie.starring.actor
113,movie.starring.actor
114,movie.starring.actor
115,movie.starring.actor
116,movie.starring.actor
117,movie.starring.actor
118,movie.starring.actor
119,movie.starring.actor
120,movie.starring.actor
121,movie.starring.actor
122,movie.starring.actor
123,movie.starring.actor
124,movie.directed_by
125,movie.starring.actor
126,movie.starring.actor
127,movie.starring.actor
128,movie.starring.actor
129,movie.starring.actor
130,movie.starring.actor
131,movie.starring.actor
132,movie.starring.actor
133,movie.estimated_budget
134,movie.estimated_budget
135,movie.estimated_budget
136,movie.estimated_budget
137,movie.estimated_budget
138,movie.estimated_budget
139,movie.estimated_budget
140,movie.estimated_budget
141,movie.estimated_budget
142,movie.estimated_budget
143,movie.estimated_budget
144,movie.estimated_budget
145,movie.estimated_budget
146,movie.estimated_budget
147,movie.estimated_budget
148,movie.estimated_budget
149,movie.estimated_budget
150,movie.estimated_budget
151,movie.estimated_budget
152,movie.estimated_budget
153,movie.estimated_budget
154,movie.estimated_budget
155,movie.estimated_budget
156,movie.estimated_budget
157,movie.estimated_budget
158,movie.estimated_budget
159,movie.estimated_budget
160,movie.estimated_budget
161,movie.estimated_budget
162,movie.estimated_budget
163,movie.estimated_budget
164,movie.estimated_budget
165,movie.estimated_budget
166,movie.estimated_budget
167,movie.estimated_budget
168,movie.estimated_budget
169,movie.estimated_budget
